テーマコード,大テーマ,テーマ
401001,生産管理概論,生産管理の基礎（生産管理の基本機能、管理目標（PQCDSME：生産性、品質、コスト・経済性、納期・生産量、安全性、モラール、環境）
401002,生産管理概論,生産形態と情報システム（生産形態（見込生産、受注生産、多種少量生産、少種多量生産、個別生産、ロット生産、連続生産　等）、情報システム（生産システムへのIT の利用、ERP、SCM、FA　等））
402001,生産のプラニング,工場立地とレイアウト（工場立地の留意点（国内生産、海外生産、生産拠点　等）、工場レイアウト（システマティックレイアウトプラニング、プラントレイアウト、設備配置　等））
402002,生産のプラニング,製品開発・製品設計（製品開発（製品のライフサイクル、顧客満足、製品系列　等）
402003,生産のプラニング,製品設計（機能設計、生産設計、組立容易性、VA ／ VE　等）
402004,生産のプラニング,設計技術（コンカレントエンジニアリング、CAD、CAM　等））
402005,生産のプラニング,生産技術（材料（金属材料、非金属材料、複合材料　等）
402006,生産のプラニング,加工技術（切削・研削、塑性加工、熱処理、化学処理　等）
402007,生産のプラニング,自動機械（溶接、塗装、加工、組立、搬送、仕分け、保管、汎用機　等）
402008,生産のプラニング,新技術（バイオテクノロジー、ナノテクノロジー　等））
402009,生産のプラニング,生産方式（ライン生産（ラインバランシング、編成効率、ラインの形態　等）
402010,生産のプラニング,セル生産（自動加工、グループテクノロジー、１人生産　等）
402011,生産のプラニング,管理方式（JIT、オーダエントリー、生産座席予約、製番管理　等））
402012,生産のプラニング,生産計画（需要予測（指数平滑、移動平均　等）
402013,生産のプラニング,需給計画（MRP 等）
402014,生産のプラニング,日程計画（大日程計画、中日程計画、小日程計画、基準日程、スケジューリング、PERT　等）
402015,生産のプラニング,能力と負荷（人員計画、負荷計画、標準時間、稼働率、余裕率　等））
402016,生産のプラニング,資材調達・外注管理（購買管理（ABC分析、発注方式、EOQ　等）
402017,生産のプラニング,外注管理（選定基準、外注指導、外注の評価　等））
403001,生産のオペレーション,品質管理（QC 手法（QC 七つ道具、新 QC 七つ道具　等）、TQM、ISO9000）
403002,生産のオペレーション,物の流れ（資材・在庫・運搬）の管理（現品管理、在庫管理、マテリアルハンドリング、分析手法（製品工程分析、運搬分析手法、活性示数、流動数分析　等））
403003,生産のオペレーション,人の動きの管理（作業管理（標準作業、標準時間、モラール、多能工化、職務訓練、職務設計　等）作業研究（方法研究、作業測定、時間研究　等）分析手法（作業者工程分析、連合作業分析、動作分析、稼働分析　等））
403004,生産のオペレーション,設備管理（設備管理の基礎（５S、工具管理、設備のライフサイクル　等）保全（保全方法、故障、工事、保全活動　等）評価と更新（設備効率、設備更新、減価償却、耐用年数　等）経済性工学（独立案、排反案、現価、年価、終価、投資案の評価等）、TPM）、生産の合理化・改善（原理原則（３S、ECRS の原則（改善の原則）、５W １H、動作経済の原則　等）、自主管理活動）、廃棄物等の管理（環境保全に関する法規、廃棄物の処理・管理（基礎的技術、環境対策、ゼロエミッション　等）、資源の有効活用（リフューズ、リデュース、リサイクル、リユース　等）、ISO14000）
404001,その他生産管理に関する事項,その他生産管理に関する事項
405001,店舗・商業集積,店舗施設に関する法律知識（都市計画法、大規模小売店舗立地法、中心市街地活性化法、建築基準法、消防法）、
405002,店舗・商業集積,店舗立地と出店（立地条件、商圏分析、出店評価）
405003,店舗・商業集積,商業集積（ショッピングセンター、商店街、共同店舗）
405004,店舗・商業集積,店舗施設（店舗構造、店舗設備・什器、照明と色彩）
406001,商品仕入・販売（マーチャンダイジング）,商品予算計画（販売予算、仕入予算、在庫予算）
406002,商品仕入・販売（マーチャンダイジング）,商品計画（業種業態、商品構成、品揃え）
406003,商品仕入・販売（マーチャンダイジング）,商品調達・取引条件（仕入方法、仕入先の選定管理、取引条件）
406004,商品仕入・販売（マーチャンダイジング）,売場構成・陳列（売場レイアウト、商品陳列）
406005,商品仕入・販売（マーチャンダイジング）,価格設定（価格政策、価格決定手法、特売・値下げ）
406006,商品仕入・販売（マーチャンダイジング）,販売促進（販売促進計画、店内プロモーション、店外プロモーション）
407001,商品補充・物流,商品在庫管理（発注方法、在庫数量管理、需要予測）
407002,商品補充・物流,輸配送管理（輸送手段・ネットワーク、ユニットロード、共同輸配送）
407003,商品補充・物流,物流センター管理（物流センター機能・設計、物流センター運営）
408001,流通情報システム,店舗システム（POS システム、顧客管理システム）
408002,流通情報システム,取引情報システム（商品コード、商品マスター）
408003,流通情報システム,物流情報システム（バーコード、RFID、トレーサビリティ）
408004,その他店舗・販売管理に関する事項,その他店舗・販売管理に関する事項
